,id,name,age,nationality,overall,potential,club,value,wage,preferred_foot,international_reputation,skill_moves,position,joined,contract_valid_until,height,weight,release_clause
21,197781,Isco,26,Spain,88,91,Real Madrid,73500.0,315.0,Right,3.0,4.0,LW,2013,2022-01-01,175.26,78.99600000000001,156200.0
22,190460,C. Eriksen,26,Denmark,88,91,Tottenham Hotspur,73500.0,205.0,Right,3.0,4.0,CAM,2013,2020-01-01,180.34,76.272,141500.0
23,189242,Coutinho,26,Brazil,88,89,FC Barcelona,69500.0,340.0,Right,3.0,5.0,LW,2018,2023-01-01,172.72,68.10000000000001,147700.0
24,178603,M. Hummels,29,Germany,88,88,FC Bayern München,46000.0,160.0,Right,4.0,3.0,LCB,2016,2021-01-01,190.5,92.162,75900.0
25,176676,Marcelo,30,Brazil,88,88,Real Madrid,43000.0,285.0,Left,4.0,5.0,LB,2007,2022-01-01,175.26,79.904,88200.0
26,167948,H. Lloris,31,France,88,88,Tottenham Hotspur,36000.0,150.0,Left,4.0,1.0,GK,2012,2022-01-01,187.96,82.174,66600.0
27,167664,G. Higuaín,30,Argentina,88,88,Milan,57000.0,245.0,Right,4.0,3.0,LS,2016,2019-06-30,185.42,88.98400000000001,4585.06080634501
28,164240,Thiago Silva,33,Brazil,88,88,Paris Saint-Germain,24000.0,165.0,Right,4.0,2.0,RCB,2012,2020-01-01,182.88,82.174,44400.0
29,1179,G. Buffon,40,Italy,88,88,Paris Saint-Germain,4000.0,77.0,Right,4.0,1.0,GK,2018,2019-01-01,193.04,92.162,7400.0
30,205600,S. Umtiti,24,France,87,92,FC Barcelona,57000.0,205.0,Left,3.0,2.0,CB,2016,2023-01-01,182.88,74.91,121100.0
31,201399,M. Icardi,25,Argentina,87,90,Inter,64500.0,130.0,Right,3.0,3.0,ST,2013,2021-01-01,180.34,74.91,114500.0
32,195864,P. Pogba,25,France,87,91,Manchester United,64000.0,210.0,Right,4.0,5.0,RDM,2016,2021-01-01,193.04,83.99000000000001,123200.0
33,192387,C. Immobile,28,Italy,87,87,Lazio,52000.0,115.0,Right,3.0,3.0,ST,2016,2023-01-01,185.42,84.898,88400.0
34,189332,Jordi Alba,29,Spain,87,87,FC Barcelona,38000.0,250.0,Left,3.0,3.0,LB,2012,2020-01-01,170.18,68.10000000000001,77900.0
35,152729,Piqué,31,Spain,87,87,FC Barcelona,34000.0,240.0,Right,4.0,2.0,RCB,2008,2022-01-01,193.04,84.898,69700.0
36,222492,L. Sané,22,Germany,86,92,Manchester City,61000.0,195.0,Left,2.0,4.0,LW,2016,2021-01-01,182.88,74.91,125100.0
37,218667,Bernardo Silva,23,Portugal,86,91,Manchester City,59500.0,180.0,Left,2.0,4.0,RW,2017,2022-01-01,172.72,64.014,114500.0
38,210257,Ederson,24,Brazil,86,90,Manchester City,41500.0,125.0,Left,2.0,1.0,GK,2017,2025-01-01,187.96,86.26,79900.0
39,203376,V. van Dijk,26,Netherlands,86,88,Liverpool,44500.0,165.0,Right,3.0,2.0,LCB,2018,2023-01-01,193.04,92.162,87900.0
40,202652,R. Sterling,23,England,86,89,Manchester City,56500.0,195.0,Right,3.0,4.0,RW,2015,2023-01-01,170.18,69.008,108800.0
41,201942,Roberto Firmino,26,Brazil,86,87,Liverpool,53000.0,195.0,Right,3.0,4.0,CAM,2015,2023-01-01,180.34,76.272,104700.0
42,201535,R. Varane,25,France,86,91,Real Madrid,50000.0,210.0,Right,3.0,2.0,RCB,2011,2022-01-01,190.5,81.266,106300.0
43,199556,M. Verratti,25,Italy,86,89,Paris Saint-Germain,55000.0,135.0,Right,3.0,4.0,LCM,2012,2021-01-01,165.10000000000002,59.928000000000004,105900.0
44,191043,Alex Sandro,27,Brazil,86,86,Juventus,36500.0,160.0,Left,3.0,3.0,LB,2015,2020-01-01,180.34,79.904,60200.0
45,190483,Douglas Costa,27,Brazil,86,86,Juventus,46500.0,175.0,Left,3.0,5.0,LM,2018,2022-01-01,172.72,69.916,76700.0
46,189596,T. Müller,28,Germany,86,86,FC Bayern München,45000.0,135.0,Right,4.0,3.0,CAM,2008,2021-01-01,185.42,74.91,74300.0
47,189509,Thiago,27,Spain,86,86,FC Bayern München,45500.0,130.0,Right,3.0,5.0,CM,2013,2021-01-01,175.26,69.916,75100.0
48,188350,M. Reus,29,Germany,86,86,Borussia Dortmund,43500.0,100.0,Right,4.0,4.0,LM,2012,2023-01-01,180.34,71.278,74000.0
49,184432,Azpilicueta,28,Spain,86,86,Chelsea,35000.0,175.0,Right,3.0,2.0,RB,2012,2022-01-01,177.79999999999998,76.272,64800.0
50,184344,L. Bonucci,31,Italy,86,86,Juventus,30000.0,160.0,Right,3.0,2.0,RCB,2018,2023-01-01,190.5,84.898,49500.0
51,176635,M. Özil,29,Germany,86,86,Arsenal,43500.0,190.0,Left,4.0,4.0,CAM,2013,2021-01-01,180.34,76.272,82700.0
52,135507,Fernandinho,33,Brazil,86,86,Manchester City,18000.0,185.0,Right,3.0,3.0,CDM,2013,2020-01-01,177.79999999999998,67.19200000000001,33300.0
53,41,Iniesta,34,Spain,86,86,Vissel Kobe,21500.0,21.0,Right,4.0,4.0,LF,2018,2021-01-01,170.18,68.10000000000001,26900.0
54,220834,Marco Asensio,22,Spain,85,92,Real Madrid,54000.0,215.0,Left,3.0,4.0,RW,2015,2023-01-01,182.88,76.272,121500.0
55,216594,N. Fekir,24,France,85,89,Olympique Lyonnais,50000.0,92.0,Left,3.0,4.0,CAM,2013,2020-01-01,172.72,74.91,98800.0
56,212831,Alisson,25,Brazil,85,90,Liverpool,36500.0,115.0,Right,3.0,1.0,GK,2018,2024-01-01,190.5,91.254,72100.0
57,212622,J. Kimmich,23,Germany,85,88,FC Bayern München,40500.0,92.0,Right,3.0,3.0,RCM,2015,2023-01-01,175.26,69.916,69900.0
58,208421,Saúl,23,Spain,85,90,Atlético Madrid,50500.0,77.0,Left,3.0,3.0,RCM,2013,2026-01-01,182.88,77.18,107300.0
59,197445,D. Alaba,26,Austria,85,87,FC Bayern München,38000.0,110.0,Left,4.0,3.0,LB,2010,2021-01-01,180.34,76.272,65600.0
60,193747,Koke,26,Spain,85,86,Atlético Madrid,45000.0,88.0,Right,3.0,3.0,LM,2011,2019-01-01,175.26,74.002,95600.0
61,193301,A. Lacazette,27,France,85,86,Arsenal,45000.0,180.0,Right,3.0,4.0,ST,2017,2022-01-01,175.26,73.09400000000001,88900.0
62,192366,N. Otamendi,30,Argentina,85,85,Manchester City,28500.0,170.0,Right,3.0,2.0,CB,2015,2022-01-01,182.88,81.266,52700.0
63,189513,Parejo,29,Spain,85,85,Valencia CF,37000.0,66.0,Right,2.0,3.0,RCM,2011,2020-01-01,182.88,74.002,77700.0
64,187961,Paulinho,29,Brazil,85,85,Guangzhou Evergrande Taobao FC,37000.0,235.0,Right,3.0,3.0,LDM,2016,2019-06-30,182.88,71.278,4585.06080634501
65,186153,W. Szczęsny,28,Poland,85,87,Juventus,32000.0,125.0,Right,3.0,1.0,GK,2017,2021-01-01,195.58,89.892,55200.0
66,184941,A. Sánchez,29,Chile,85,85,Manchester United,37500.0,215.0,Right,4.0,4.0,RW,2018,2022-01-01,170.18,74.002,69400.0
67,183907,J. Boateng,29,Germany,85,85,FC Bayern München,30000.0,115.0,Right,4.0,2.0,RCB,2011,2021-01-01,193.04,89.892,49500.0
68,181872,A. Vidal,31,Chile,85,85,FC Barcelona,26000.0,205.0,Right,4.0,3.0,CAM,2018,2021-01-01,180.34,74.91,53300.0
69,179846,S. Khedira,31,Germany,85,85,Juventus,33000.0,160.0,Right,3.0,2.0,RCM,2015,2021-01-01,187.96,89.892,54500.0
70,179844,Diego Costa,29,Spain,85,85,Atlético Madrid,38500.0,100.0,Right,4.0,2.0,LS,2018,2021-01-01,187.96,86.26,78900.0
71,171919,Naldo,35,Brazil,85,85,FC Schalke 04,9000.0,38.0,Right,3.0,2.0,CB,2016,2020-01-01,198.12,91.254,15300.0
72,170890,B. Matuidi,31,France,85,85,Juventus,26000.0,145.0,Left,3.0,2.0,LM,2017,2020-01-01,180.34,74.91,42900.0
73,168609,Miranda,33,Brazil,85,85,Inter,15500.0,96.0,Right,3.0,2.0,CB,2017,2020-01-01,185.42,78.08800000000001,26400.0
74,165153,K. Benzema,30,France,85,85,Real Madrid,37000.0,240.0,Right,4.0,4.0,ST,2009,2021-01-01,185.42,81.266,75900.0
75,164169,Filipe Luís,32,Brazil,85,85,Atlético Madrid,21500.0,81.0,Left,3.0,3.0,LB,2015,2019-01-01,182.88,74.002,44100.0
76,120533,Pepe,35,Portugal,85,85,Beşiktaş JK,9000.0,57.0,Right,4.0,2.0,RCB,2017,2019-01-01,187.96,81.266,17100.0
77,41236,Z. Ibrahimović,36,Sweden,85,85,LA Galaxy,14000.0,15.0,Right,5.0,5.0,RS,2018,2022-01-01,195.58,94.88600000000001,21000.0
78,220793,D. Sánchez,22,Colombia,84,88,Tottenham Hotspur,34000.0,105.0,Right,2.0,2.0,RCB,2017,2024-01-01,187.96,78.99600000000001,65500.0
79,212462,Alex Telles,25,Brazil,84,87,FC Porto,32000.0,22.0,Left,3.0,3.0,LB,2016,2021-01-01,180.34,71.278,66400.0
80,212218,A. Laporte,24,France,84,88,Manchester City,34000.0,135.0,Left,2.0,2.0,LCB,2018,2023-01-01,187.96,84.898,65500.0
81,212198,Bruno Fernandes,23,Portugal,84,88,Sporting CP,40500.0,22.0,Right,2.0,4.0,LCM,2017,2023-01-01,177.79999999999998,69.008,84000.0
82,212190,N. Süle,22,Germany,84,90,FC Bayern München,36500.0,84.0,Right,2.0,2.0,CB,2017,2022-01-01,195.58,97.156,67500.0
83,211300,A. Martial,22,France,84,90,Manchester United,42500.0,165.0,Right,3.0,4.0,LW,2015,2019-01-01,182.88,76.272,87100.0
84,211117,D. Alli,22,England,84,90,Tottenham Hotspur,42500.0,115.0,Right,3.0,4.0,LCM,2015,2024-01-01,187.96,79.904,87100.0
85,209499,Fabinho,24,Brazil,84,88,Liverpool,34000.0,120.0,Right,3.0,3.0,CDM,2018,2023-01-01,187.96,78.08800000000001,67200.0
86,207865,Marquinhos,24,Brazil,84,89,Paris Saint-Germain,35500.0,90.0,Right,3.0,2.0,LDM,2013,2022-01-01,182.88,74.91,68300.0
87,207566,William Carvalho,26,Portugal,84,86,Real Betis,31500.0,38.0,Right,3.0,3.0,CDM,2018,2023-01-01,187.96,83.08200000000001,68500.0
88,205498,Jorginho,26,Italy,84,87,Chelsea,38000.0,155.0,Right,2.0,3.0,CM,2018,2023-01-01,180.34,67.19200000000001,73200.0
89,204970,F. Thauvin,25,France,84,87,Olympique de Marseille,39000.0,72.0,Left,2.0,4.0,RM,2017,2021-01-01,177.79999999999998,69.916,77000.0
90,204963,Carvajal,26,Spain,84,87,Real Madrid,31500.0,185.0,Right,3.0,3.0,RB,2013,2022-01-01,172.72,73.09400000000001,66900.0
91,202556,M. Depay,24,Netherlands,84,89,Olympique Lyonnais,42000.0,93.0,Right,3.0,5.0,ST,2017,2021-01-01,175.26,78.08800000000001,83000.0
92,200104,H. Son,25,Korea Republic,84,85,Tottenham Hotspur,37000.0,125.0,Right,3.0,4.0,LM,2015,2023-01-01,182.88,64.922,71200.0
93,199482,A. Lopes,27,Portugal,84,86,Olympique Lyonnais,25000.0,72.0,Left,2.0,1.0,GK,2011,2020-01-01,182.88,81.266,49400.0
94,198176,S. de Vrij,26,Netherlands,84,86,Inter,31500.0,88.0,Right,3.0,2.0,CB,2018,2023-01-01,187.96,78.08800000000001,55900.0
95,198009,M. Perin,25,Italy,84,89,Juventus,29500.0,105.0,Right,2.0,1.0,GK,2018,2022-01-01,187.96,77.18,50900.0
96,193082,J. Cuadrado,30,Colombia,84,84,Juventus,29500.0,150.0,Right,3.0,5.0,RAM,2015,2020-01-01,177.79999999999998,72.186,48700.0
97,192629,Iago Aspas,30,Spain,84,84,RC Celta,30000.0,45.0,Left,2.0,3.0,ST,2015,2022-01-01,175.26,67.19200000000001,63000.0
98,192563,B. Leno,26,Germany,84,87,Arsenal,27000.0,115.0,Right,3.0,1.0,GK,2018,2023-01-01,190.5,83.08200000000001,53300.0
99,190584,Illarramendi,28,Spain,84,84,Real Sociedad,31000.0,51.0,Right,2.0,4.0,RDM,2015,2023-01-01,177.79999999999998,74.91,65099.99999999999
100,188377,K. Walker,28,England,84,84,Manchester City,24500.0,165.0,Right,3.0,2.0,RB,2017,2022-01-01,182.88,69.916,45300.0
101,186942,I. Gündoğan,27,Germany,84,84,Manchester City,32000.0,175.0,Right,3.0,4.0,CM,2016,2020-01-01,180.34,79.904,59200.0
102,185020,José Callejón,31,Spain,84,84,Napoli,27500.0,105.0,Right,3.0,3.0,RM,2013,2020-01-01,177.79999999999998,73.09400000000001,46800.0
103,183898,A. Di María,30,Argentina,84,84,Paris Saint-Germain,29500.0,125.0,Left,4.0,5.0,RM,2015,2021-01-01,180.34,69.008,54600.0
104,180403,Willian,29,Brazil,84,84,Chelsea,30500.0,175.0,Right,3.0,4.0,RW,2013,2020-01-01,175.26,78.08800000000001,56400.0
105,178750,Sergio Asenjo,29,Spain,84,85,Villarreal CF,24000.0,42.0,Right,2.0,1.0,GK,2014,2022-01-01,187.96,87.168,52200.0
106,178562,E. Banega,30,Argentina,84,84,Sevilla FC,29000.0,31.0,Right,3.0,4.0,CDM,2017,2020-01-01,175.26,71.278,60900.0
107,177388,D. Payet,31,France,84,84,Olympique de Marseille,27500.0,75.0,Right,3.0,4.0,CAM,2017,2021-01-01,175.26,77.18,52300.0
108,176769,Jonas,34,Brazil,84,84,SL Benfica,16500.0,25.0,Right,3.0,3.0,ST,2014,2020-01-01,180.34,74.002,33000.0
109,167628,S. Ruffier,31,France,84,84,AS Saint-Étienne,19000.0,41.0,Right,3.0,1.0,GK,2011,2021-01-01,187.96,93.07000000000001,36100.0
110,167397,Falcao,32,Colombia,84,84,AS Monaco,25000.0,115.0,Right,3.0,3.0,RS,2013,2020-01-01,177.79999999999998,72.186,47500.0
111,163587,K. Schmeichel,31,Denmark,84,84,Leicester City,19000.0,78.0,Right,2.0,1.0,GK,2011,2023-01-01,187.96,88.98400000000001,36100.0
112,157481,Raúl Albiol,32,Spain,84,84,Napoli,18000.0,88.0,Right,3.0,2.0,RCB,2013,2021-01-01,190.5,82.174,30600.0
113,143076,A. Gómez,30,Argentina,84,84,Atalanta,30000.0,53.0,Right,3.0,4.0,LS,2014,2022-01-01,165.10000000000002,68.10000000000001,51000.0
114,137186,A. Barzagli,37,Italy,84,84,Juventus,4200.0,95.0,Right,3.0,2.0,CB,2011,2019-01-01,187.96,87.168,6900.0
115,20775,Quaresma,34,Portugal,84,84,Beşiktaş JK,15500.0,80.0,Right,3.0,5.0,RM,2015,2020-01-01,175.26,67.19200000000001,29500.0
116,9014,A. Robben,34,Netherlands,84,84,FC Bayern München,15500.0,110.0,Left,4.0,4.0,RM,2009,2019-01-01,180.34,79.904,25600.0
117,231443,O. Dembélé,21,France,83,92,FC Barcelona,40000.0,155.0,Left,3.0,4.0,RW,2017,2022-01-01,177.79999999999998,67.19200000000001,90000.0
118,230666,Gabriel Jesus,21,Brazil,83,92,Manchester City,41000.0,130.0,Right,2.0,4.0,ST,2016,2023-01-01,175.26,73.09400000000001,84100.0
119,230481,Ronaldo Cabrais,26,Brazil,83,83,Grêmio,28000.0,51.0,Right,1.0,4.0,RW,2018,2021-01-01,177.79999999999998,74.91,50400.0
120,230375,Josué Chiamulera,26,Brazil,83,83,Grêmio,22500.0,43.0,Right,1.0,2.0,LCB,2018,2021-01-01,185.42,79.904,40500.0
121,230294,Louri Beretta,26,Brazil,83,83,Atlético Mineiro,28500.0,60.0,Right,1.0,4.0,ST,2018,2021-01-01,187.96,83.08200000000001,54200.0
122,225850,P. Kimpembe,22,France,83,89,Paris Saint-Germain,30500.0,82.0,Left,2.0,3.0,LCB,2015,2023-01-01,187.96,79.904,62500.0
123,219683,C. Tolisso,23,France,83,88,FC Bayern München,34000.0,85.0,Right,2.0,3.0,CM,2017,2022-01-01,180.34,81.266,58700.0
124,213565,T. Lemar,22,France,83,89,Atlético Madrid,35500.0,64.0,Left,3.0,4.0,LM,2018,2023-01-01,170.18,62.198,79900.0
125,213345,K. Coman,22,France,83,87,FC Bayern München,34000.0,85.0,Right,2.0,5.0,LM,2015,2023-01-01,177.79999999999998,71.278,58700.0
126,213331,J. Tah,22,Germany,83,88,Bayer 04 Leverkusen,29500.0,67.0,Right,2.0,2.0,CB,2015,2023-01-01,195.58,97.156,52400.0
127,212523,Anderson Talisca,24,Brazil,83,90,Guangzhou Evergrande Taobao FC,36500.0,18.0,Left,2.0,4.0,CAM,2016,2018-12-31,190.5,79.904,4585.06080634501
128,212188,T. Werner,22,Germany,83,87,RB Leipzig,34500.0,70.0,Right,3.0,3.0,RW,2016,2020-01-01,180.34,74.91,61200.0
129,210008,A. Rabiot,23,France,83,87,Paris Saint-Germain,33000.0,91.0,Left,2.0,3.0,CM,2012,2019-01-01,193.04,79.904,63500.0
130,209658,L. Goretzka,23,Germany,83,88,FC Bayern München,34000.0,85.0,Right,3.0,3.0,CM,2018,2022-01-01,187.96,78.99600000000001,58700.0
131,208808,Q. Promes,26,Netherlands,83,84,Sevilla FC,30500.0,28.0,Right,2.0,5.0,RM,2018,2023-01-01,175.26,72.186,66300.0
132,208618,Lucas Vázquez,27,Spain,83,83,Real Madrid,27000.0,205.0,Right,2.0,4.0,RW,2015,2021-01-01,172.72,69.916,55400.0
133,208093,Gerard Moreno,26,Spain,83,85,Villarreal CF,32000.0,53.0,Left,1.0,4.0,LS,2018,2023-01-01,180.34,77.18,69600.0
134,207863,Felipe,29,Brazil,83,83,FC Porto,20000.0,22.0,Right,3.0,2.0,RCB,2016,2021-01-01,190.5,86.26,40000.0
135,206585,Kepa,23,Spain,83,91,Chelsea,28500.0,84.0,Right,1.0,1.0,GK,2018,2025-01-01,185.42,84.898,58400.0
136,206545,Manu Trigueros,26,Spain,83,84,Villarreal CF,30000.0,49.0,Right,2.0,4.0,RCM,2011,2022-01-01,177.79999999999998,74.91,65300.0
137,206113,S. Gnabry,22,Germany,83,88,FC Bayern München,34500.0,85.0,Right,2.0,4.0,ST,2017,2020-01-01,175.26,74.91,59500.0
138,204935,J. Pickford,24,England,83,88,Everton,25000.0,78.0,Left,1.0,1.0,GK,2017,2024-01-01,185.42,77.18,49400.0
139,203574,J. Stones,24,England,83,87,Manchester City,28500.0,125.0,Right,2.0,3.0,RCB,2016,2022-01-01,187.96,69.916,54900.0
140,202651,Suso,24,Spain,83,86,Milan,33000.0,115.0,Left,3.0,4.0,RW,2015,2022-01-01,175.26,69.916,58600.0
141,202166,J. Draxler,24,Germany,83,86,Paris Saint-Germain,32500.0,91.0,Right,3.0,4.0,CM,2017,2021-01-01,187.96,77.18,62600.0
142,201995,Felipe Anderson,25,Brazil,83,85,West Ham United,31500.0,110.0,Right,3.0,4.0,LM,2018,2022-01-01,175.26,69.916,62200.0
143,200949,Lucas Moura,25,Brazil,83,84,Tottenham Hotspur,31000.0,115.0,Right,3.0,4.0,RM,2018,2023-01-01,175.26,69.916,59700.0
144,200888,Danilo Pereira,26,Portugal,83,86,FC Porto,27000.0,21.0,Right,3.0,3.0,CDM,2015,2022-01-01,187.96,83.08200000000001,56000.0
145,200724,Nacho Fernández,28,Spain,83,85,Real Madrid,24500.0,180.0,Right,2.0,2.0,CB,2010,2021-01-01,180.34,76.272,52100.0
146,200316,T. Horn,25,Germany,83,87,1. FC Köln,24000.0,25.0,Left,2.0,1.0,GK,2011,2023-01-01,193.04,89.892,37800.0
147,199914,Allan,27,Brazil,83,83,Napoli,26500.0,87.0,Right,2.0,4.0,RCM,2015,2023-01-01,175.26,74.002,45100.0
148,199845,F. Acerbi,30,Italy,83,83,Lazio,19000.0,64.0,Left,2.0,3.0,CB,2018,2023-01-01,193.04,88.07600000000001,32300.0
149,199564,Sergi Roberto,26,Spain,83,86,FC Barcelona,26500.0,170.0,Right,3.0,4.0,RB,2013,2022-01-01,177.79999999999998,68.10000000000001,56300.0
150,198329,Rodrigo,27,Spain,83,84,Valencia CF,30500.0,57.0,Left,2.0,4.0,ST,2014,2022-01-01,182.88,77.18,66300.0
151,197965,Pizzi,28,Portugal,83,83,SL Benfica,25500.0,22.0,Right,3.0,3.0,LCM,2013,2022-01-01,177.79999999999998,72.186,51000.0
152,194404,Neto,28,Brazil,83,84,Valencia CF,21000.0,41.0,Right,2.0,1.0,GK,2017,2021-01-01,190.5,83.99000000000001,45700.0
153,193698,O. Baumann,28,Germany,83,84,TSG 1899 Hoffenheim,21000.0,42.0,Right,2.0,1.0,GK,2014,2021-01-01,187.96,82.174,37300.0
154,192638,Marcos Alonso,27,Spain,83,84,Chelsea,24000.0,130.0,Left,2.0,3.0,LB,2016,2023-01-01,187.96,87.168,46200.0
155,190547,K. Glik,30,Poland,83,83,AS Monaco,19000.0,86.0,Right,3.0,2.0,RCB,2016,2021-01-01,190.5,79.904,36100.0
156,189712,K. Strootman,28,Netherlands,83,83,Olympique de Marseille,21000.0,66.0,Left,3.0,3.0,CDM,2018,2023-01-01,185.42,79.904,39900.0
157,189068,B. Dost,29,Netherlands,83,83,Sporting CP,26000.0,26.0,Right,3.0,2.0,ST,2016,2021-01-01,195.58,88.98400000000001,52000.0
158,188152,Oscar,26,Brazil,83,84,Shanghai SIPG FC,30500.0,29.0,Right,3.0,4.0,LCM,2017,2020-01-01,177.79999999999998,66.284,69400.0
159,186627,M. Balotelli,27,Italy,83,83,OGC Nice,27500.0,55.0,Right,4.0,4.0,LS,2016,2019-01-01,187.96,88.07600000000001,52300.0
160,185221,Luiz Gustavo,30,Brazil,83,83,Olympique de Marseille,19000.0,63.0,Left,3.0,3.0,LCB,2017,2021-01-01,187.96,78.08800000000001,36100.0
161,184942,Giuliano,28,Brazil,83,83,Al Nassr,26000.0,64.0,Right,2.0,4.0,CAM,2018,2021-01-01,172.72,68.10000000000001,44200.0
162,179944,David Luiz,31,Brazil,83,83,Chelsea,17500.0,130.0,Right,4.0,3.0,LCB,2016,2019-01-01,187.96,86.26,32400.0
163,179783,R. Fährmann,29,Germany,83,84,FC Schalke 04,20000.0,38.0,Right,2.0,1.0,GK,2011,2022-01-01,198.12,98.06400000000001,35500.0
164,178088,Juan Mata,30,Spain,83,83,Manchester United,24500.0,160.0,Left,3.0,4.0,RM,2014,2019-01-01,170.18,63.106,45300.0
165,178086,Adán,31,Spain,83,83,Atlético Madrid,15500.0,55.0,Left,2.0,1.0,GK,2018,2020-01-01,190.5,92.162,31800.0
166,178005,Rui Patrício,30,Portugal,83,83,Wolverhampton Wanderers,16500.0,74.0,Left,3.0,1.0,GK,2018,2022-01-01,190.5,83.99000000000001,31400.0
167,177610,Javi Martínez,29,Spain,83,83,FC Bayern München,20000.0,94.0,Right,3.0,2.0,CDM,2012,2021-01-01,193.04,86.26,33000.0
168,177457,L. Bender,29,Germany,83,83,Bayer 04 Leverkusen,20000.0,82.0,Right,3.0,2.0,RB,2009,2021-01-01,185.42,81.266,34000.0
169,176266,Lucas Leiva,31,Brazil,83,83,Lazio,17500.0,64.0,Right,3.0,3.0,LDM,2017,2020-01-01,177.79999999999998,78.08800000000001,29800.0
170,163705,S. Mandanda,33,France,83,83,Olympique de Marseille,13000.0,51.0,Right,3.0,1.0,GK,2017,2020-01-01,185.42,82.174,24700.0
171,162895,Cesc Fàbregas,31,Spain,83,83,Chelsea,22000.0,140.0,Right,4.0,3.0,CM,2014,2019-01-01,177.79999999999998,77.18,40700.0
172,156616,F. Ribéry,35,France,83,83,FC Bayern München,11500.0,72.0,Right,4.0,5.0,LM,2007,2019-01-01,170.18,72.186,19000.0
173,104389,R. Jarstein,33,Norway,83,83,Hertha BSC,13000.0,33.0,Right,2.0,1.0,GK,2014,2021-01-01,190.5,82.174,22100.0
174,53302,D. De Rossi,34,Italy,83,83,Roma,8000.0,80.0,Right,3.0,2.0,RDM,2002,2019-01-01,182.88,83.08200000000001,13600.0
175,24630,Pepe Reina,35,Spain,83,83,Milan,6000.0,56.0,Right,3.0,1.0,GK,2018,2021-01-01,187.96,92.162,10200.0
176,235243,M. de Ligt,18,Netherlands,82,91,Ajax,27000.0,11.0,Right,2.0,2.0,RCB,2016,2021-01-01,187.96,88.98400000000001,43200.0
